Termd,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,Absences,DaysLateLast30,YearsAtCompany,OverTime,WorkLifeBalance,Department,PerformanceScore,RecruitmentSource,MaritalStatus,AgeBracket,SalaryBand,satisfaction_trend,Sex,RaceDesc,employee_id,departure_cause,exit_feedback,source_dataset,Position
1,5.0,5,0,1,0,4.5,0,4,4,1,6,0,3,3,0,1,6,eadb870bf961,career_growth,The lack of internal mobility is frustrating. I asked about lateral moves twice and was told to wait. I found a company that invests in career development.,dr_rich,Production Technician I
1,4.98,4,0,20,0,6.5,1,2,4,1,3,3,2,3,0,1,6,b9e795df6fdd,performance,The role evolved beyond my current skill set and the training support wasn't sufficient to bridge the gap.,dr_rich,Production Technician I
0,4.43,3,0,16,0,9.7,1,2,4,0,2,1,0,4,2,0,6,38182d14999a,,,dr_rich,Production Technician II
0,4.94,5,0,12,0,15.0,0,3,4,1,3,3,0,3,1,0,6,22149857a971,,,dr_rich,Production Technician I
1,4.54,4,5,8,0,1.2,0,4,3,1,3,3,2,0,1,0,6,9b311608d45b,performance,I acknowledge that my recent performance wasn't meeting expectations. I was dealing with personal issues that affected my work.,dr_rich,Database Administrator
0,4.26,4,0,13,0,12.7,0,3,4,1,5,3,3,3,1,1,1,bdba564143cd,,,dr_rich,Production Technician I
0,5.0,3,0,13,0,14.0,0,4,4,1,3,3,0,3,2,1,6,ce831c9af9ca,,,dr_rich,Production Technician I
0,4.27,3,0,2,0,12.6,0,4,4,1,4,0,0,3,2,0,1,5b0342c733e4,,,dr_rich,Production Technician I
0,4.97,3,0,19,0,11.7,1,2,4,0,4,1,2,3,2,0,6,e21ae47b2361,,,dr_rich,Production Technician I
0,2.02,3,0,3,2,15.0,0,4,4,2,0,3,2,3,0,0,6,680f8aa51445,,,dr_rich,Production Technician II
1,4.73,5,0,5,0,3.2,0,4,4,1,3,3,0,3,0,0,6,1b9131cbf0ea,career_growth,"Despite strong performance reviews, there's been no discussion about advancement. I need a role where I can develop new skills and take on more responsibility.",dr_rich,Production Technician II
1,3.46,5,7,2,0,2.0,0,4,3,1,5,3,0,0,2,1,2,cec3fc3dd95e,compensation,"After 2 years, my salary hasn't kept pace with market rates. I received an offer that was significantly higher and felt I had no choice but to accept it.",dr_rich,Enterprise Architect
0,5.0,4,3,4,0,11.1,0,4,0,1,1,1,2,0,1,0,2,213ea04e7e7b,,,dr_rich,Sr. Accountant
1,3.38,3,0,14,0,0.9,0,3,4,1,4,3,0,4,0,1,1,58fc661056c4,compensation,I enjoyed the team but the total compensation package wasn't competitive. Benefits and base salary both fell below industry standard.,dr_rich,Production Manager
1,3.42,4,0,6,0,1.2,0,4,4,1,3,1,2,3,2,0,6,0f60776ce3dd,compensation,"After 1 years, my salary hasn't kept pace with market rates. I received an offer that was significantly higher and felt I had no choice but to accept it.",dr_rich,Production Technician I
0,4.43,2,6,14,0,17.4,0,3,0,1,1,1,2,3,0,0,2,7c6b679e64e9,,,dr_rich,Accountant I
0,3.2,3,0,9,0,11.5,0,4,4,1,3,3,2,3,2,1,6,87c0d1fb29cc,,,dr_rich,Production Technician II
0,3.45,5,0,17,0,12.3,1,2,4,1,1,2,0,3,2,0,2,8a228c524401,,,dr_rich,Production Technician I
1,3.04,5,0,19,1,3.0,1,2,6,1,3,1,0,4,0,0,2,6fd24143a40c,compensation,I enjoyed the team but the total compensation package wasn't competitive. Benefits and base salary both fell below industry standard.,dr_rich,Area Sales Manager
0,4.41,4,0,3,0,14.0,0,4,4,1,2,3,3,3,1,0,2,6a5a2e83e1d6,,,dr_rich,Production Technician II
0,3.32,5,0,15,0,15.0,0,4,4,1,4,1,3,3,2,1,6,e709be7fda19,,,dr_rich,Production Technician II
0,3.86,3,5,4,0,14.6,0,4,7,1,3,3,0,4,2,1,6,3f9e23fc7ad4,,,dr_rich,Software Engineering Manager
0,5.0,3,0,14,0,10.1,0,3,4,0,4,3,2,4,2,1,6,354a74115f72,,,dr_rich,Production Manager
0,4.96,4,6,3,0,12.3,0,4,7,1,4,3,2,4,1,0,6,feb76ca61f7d,,,dr_rich,Software Engineer
0,4.35,3,0,14,0,12.0,0,4,4,1,5,3,2,3,2,1,2,f8756e7c5bd8,,,dr_rich,Production Technician I
0,4.94,5,6,7,0,9.7,0,4,3,1,5,3,2,0,1,0,2,0547bf7a0cf1,,,dr_rich,Sr. DBA
0,5.0,5,0,7,0,11.6,0,4,6,1,4,3,0,4,1,0,6,0b57c210d510,,,dr_rich,Area Sales Manager
0,4.97,4,0,11,0,11.5,0,3,4,1,3,3,0,3,1,0,6,0c3af5b29fea,,,dr_rich,Production Technician I
0,4.44,5,7,8,0,9.5,0,4,3,1,4,1,0,0,1,1,6,236c29a0d4c8,,,dr_rich,BI Director
0,3.3,4,0,11,0,11.8,0,4,4,1,4,3,3,3,2,0,6,4c724958c35c,,,dr_rich,Production Technician I
0,3.86,5,0,4,0,12.7,0,4,4,1,5,3,2,3,2,1,6,a1ff963a607c,,,dr_rich,Production Technician I
0,3.05,5,0,17,0,13.8,1,3,6,1,2,3,0,3,2,1,2,02209cc13af0,,,dr_rich,Area Sales Manager
1,4.38,4,0,3,0,4.4,0,4,4,1,4,3,2,3,1,0,6,93463c6fafcc,relocation,My spouse accepted a position in another city. I explored transfer options but none were available in my department.,dr_rich,Production Technician I
0,3.65,5,0,3,0,14.5,0,4,4,1,4,3,2,3,2,0,2,83fbeb72d1d1,,,dr_rich,Production Technician I
0,4.7,3,6,2,0,13.5,0,4,3,1,4,3,2,3,2,1,6,db2cd550c0db,,,dr_rich,IT Support
1,4.19,5,0,9,0,1.6,0,4,4,1,3,1,2,3,0,0,6,d3b57f1bb345,work_life_balance,The overtime expectations became unsustainable. I was regularly working evenings and weekends with no flexibility offered in return.,dr_rich,Production Technician II
1,4.11,4,0,6,0,1.1,0,4,4,1,4,1,3,3,0,1,6,697dab03e807,work_life_balance,"After 1 years of intense hours, I'm burned out. The company culture prioritizes presence over productivity.",dr_rich,Production Technician II
0,4.15,4,0,5,0,9.7,0,4,4,0,2,1,3,3,1,1,6,dd048afea277,,,dr_rich,Production Technician I
0,4.43,5,0,3,0,12.7,0,4,4,1,2,3,3,3,1,1,6,9ce873cea8e9,,,dr_rich,Production Technician I
1,1.95,3,0,16,5,5.2,1,3,4,2,5,3,3,3,0,1,2,f4bd18f2feae,performance,I acknowledge that my recent performance wasn't meeting expectations. I was dealing with personal issues that affected my work.,dr_rich,Production Technician I
0,4.22,2,0,3,3,15.7,1,3,4,2,0,0,0,3,0,1,6,7276d1084abb,,,dr_rich,Production Manager
0,3.69,5,0,15,0,17.2,0,4,4,0,4,3,2,1,2,1,2,afa8e53e7782,,,dr_rich,Director of Operations
0,4.64,5,0,6,0,11.2,0,4,4,1,4,1,3,3,1,0,6,8176304f3fbe,,,dr_rich,Production Technician I
0,3.04,3,6,2,0,11.0,0,4,3,1,4,1,2,4,2,1,6,767df9bf09fe,,,dr_rich,Data Analyst
0,4.03,5,0,15,0,9.7,0,3,4,1,5,3,2,3,1,0,6,d13c64560496,,,dr_rich,Production Technician I
0,5.0,3,4,5,0,11.3,0,4,3,1,2,3,0,4,2,1,6,0922e9d76b11,,,dr_rich,Sr. Network Engineer
0,4.53,4,0,8,0,11.9,0,4,6,1,4,3,2,3,1,0,6,27996129cc15,,,dr_rich,Sales Manager
0,3.01,5,8,19,0,11.3,1,2,3,1,5,1,0,4,2,0,6,d3a78585feea,,,dr_rich,Sr. Network Engineer
0,5.0,3,0,1,0,13.7,0,4,4,1,4,1,3,3,2,0,6,e7d0fcbc58b0,,,dr_rich,Production Technician I
0,3.86,4,0,6,0,14.4,0,4,4,1,5,3,3,3,2,1,4,166c6f329f54,,,dr_rich,Production Technician II
0,4.23,4,3,2,2,7.7,0,4,4,1,4,1,2,3,1,1,6,608cca5a9398,,,dr_rich,Production Technician I
1,5.0,4,0,14,0,5.1,0,3,4,1,4,1,3,3,0,1,6,8e060d1668d5,management,I raised concerns about workload distribution multiple times but nothing changed. The management style in our department needs improvement.,dr_rich,Production Technician I
0,3.78,5,5,8,0,14.2,0,4,7,1,0,3,3,0,2,0,2,bbe099f94c47,,,dr_rich,Software Engineer
0,1.94,3,0,5,6,11.5,1,4,6,3,4,3,0,3,0,1,4,ce6db1668d11,,,dr_rich,Area Sales Manager
1,4.64,5,0,1,0,4.6,0,4,4,1,3,2,0,3,0,0,2,a25e363feb46,career_growth,The lack of internal mobility is frustrating. I asked about lateral moves twice and was told to wait. I found a company that invests in career development.,dr_rich,Production Technician II
0,1.17,2,0,9,4,11.7,1,4,4,3,4,1,0,3,0,1,6,ef2405a8e59c,,,dr_rich,Production Technician I
0,2.91,5,7,15,0,9.1,0,4,3,1,4,3,2,4,2,1,6,f0f64593753c,,,dr_rich,BI Developer
0,4.39,4,0,1,0,11.8,0,4,4,1,4,3,2,3,1,1,6,c6b1508c1618,,,dr_rich,Production Technician I
0,2.39,1,0,17,2,14.1,1,2,6,3,9,3,2,3,0,0,6,7d69c9a872bf,,,dr_rich,Area Sales Manager
0,3.91,4,0,6,0,13.2,0,4,4,2,4,1,3,3,2,0,2,20afd1804f87,,,dr_rich,Production Technician I
0,3.39,5,0,15,0,14.0,0,4,4,1,0,3,2,2,2,0,6,65ebbf397cc3,,,dr_rich,Production Technician I
0,4.16,4,6,16,0,11.2,1,3,3,1,2,1,2,4,1,0,6,ab8e41044fc7,,,dr_rich,IT Support
0,4.27,5,5,4,0,12.2,0,4,3,0,4,3,0,0,1,1,2,4e76d497cf78,,,dr_rich,IT Manager - Support
0,4.79,5,0,14,0,15.2,0,3,6,0,4,3,2,4,1,0,6,2e851a4fbabe,,,dr_rich,Area Sales Manager
0,4.59,4,0,4,0,11.5,0,4,4,1,3,3,0,4,1,0,6,c37bdb949b98,,,dr_rich,Production Manager
0,2.89,3,0,6,0,15.9,0,4,4,1,3,1,0,3,2,0,6,5dfa4cceea2a,,,dr_rich,Production Technician I
1,4.99,3,0,7,0,6.2,0,4,4,1,3,1,1,3,0,0,6,8f9ea7a2447a,work_life_balance,I need better work-life balance. The constant pressure and lack of remote work options made it difficult to manage personal responsibilities.,dr_rich,Production Technician I
0,4.69,5,0,8,0,11.3,0,4,4,1,5,3,0,2,1,1,6,64487b41d08d,,,dr_rich,Production Technician I
0,4.22,3,0,3,0,12.0,0,4,4,1,2,1,3,3,2,1,6,f00371b6ba4a,,,dr_rich,Production Technician I
0,3.08,1,0,5,2,11.7,0,4,4,3,4,2,2,3,0,0,6,3ce2c27b9d6f,,,dr_rich,Production Technician II
1,5.0,4,0,16,5,6.5,1,2,4,2,3,3,2,3,0,1,6,8f6fd61870e1,performance,The role evolved beyond my current skill set and the training support wasn't sufficient to bridge the gap.,dr_rich,Production Technician I
1,2.28,3,0,19,5,4.0,1,2,4,2,3,3,2,3,0,0,6,58e8aff863b0,management,There were ongoing communication issues with leadership in my department. Decisions were made without consulting the team and morale suffered.,dr_rich,Production Technician I
1,2.02,5,4,19,4,2.1,1,3,7,2,4,1,2,4,0,0,2,f7c028376602,performance,I acknowledge that my recent performance wasn't meeting expectations. I was dealing with personal issues that affected my work.,dr_rich,Software Engineer
0,4.34,5,0,17,0,11.7,1,3,4,1,5,1,3,4,1,0,2,ad6b01038334,,,dr_rich,Production Technician II
0,4.09,4,0,7,0,12.1,0,4,4,1,5,3,2,3,1,0,2,abcc18644fea,,,dr_rich,Production Technician II
1,3.21,3,0,16,0,4.5,1,2,4,1,3,1,0,3,0,0,6,f071146f9e85,management,There were ongoing communication issues with leadership in my department. Decisions were made without consulting the team and morale suffered.,dr_rich,Production Technician I
0,1.5,5,0,15,6,10.9,1,2,4,3,4,1,2,3,0,1,6,7761b7ffe22a,,,dr_rich,Production Technician I
0,1.1,3,6,2,3,11.0,1,4,3,3,5,3,2,3,0,1,6,e88afc18c3ca,,,dr_rich,Network Engineer
0,4.98,5,0,19,0,14.2,1,3,4,1,3,1,2,3,1,0,6,323cf60c8840,,,dr_rich,Production Technician I
1,4.66,5,0,20,0,2.1,1,2,4,1,3,3,2,4,1,1,6,04fe17a0a70b,career_growth,The lack of internal mobility is frustrating. I asked about lateral moves twice and was told to wait. I found a company that invests in career development.,dr_rich,Production Technician II
1,3.58,3,0,6,0,1.8,0,4,4,1,3,1,2,3,0,0,6,eb214e9af00c,compensation,I enjoyed the team but the total compensation package wasn't competitive. Benefits and base salary both fell below industry standard.,dr_rich,Production Technician II
1,1.96,5,0,7,4,3.9,1,3,6,3,2,1,0,4,0,1,6,3ba10a1caa72,career_growth,The lack of internal mobility is frustrating. I asked about lateral moves twice and was told to wait. I found a company that invests in career development.,dr_rich,Area Sales Manager
0,4.9,5,5,15,0,14.9,0,3,3,0,4,3,3,1,1,1,2,7f4c39ca1068,,,dr_rich,IT Director
0,5.0,3,2,3,0,17.2,0,4,0,1,7,1,3,4,2,0,6,3c0224fa6fe7,,,dr_rich,Sr. Accountant
0,4.29,3,0,7,2,14.5,0,4,6,1,0,3,0,3,2,1,2,ec09f74868eb,,,dr_rich,Area Sales Manager
0,4.66,4,5,1,0,15.9,0,4,3,1,5,3,0,3,1,0,6,5320eb3b476f,,,dr_rich,IT Support
0,4.43,3,0,5,0,11.0,0,4,4,1,2,3,2,3,2,1,6,4b55efbac97f,,,dr_rich,Production Technician I
0,4.25,4,0,12,0,14.8,0,4,4,1,5,3,2,3,1,0,2,3acc2f4e25da,,,dr_rich,Production Technician I
0,3.79,3,0,19,0,11.0,1,2,4,1,5,1,2,3,2,0,2,707b31c6a5a2,,,dr_rich,Production Technician I
1,4.32,4,0,2,0,5.0,0,4,4,1,1,0,0,3,0,0,2,765c64e5f1cd,work_life_balance,The overtime expectations became unsustainable. I was regularly working evenings and weekends with no flexibility offered in return.,dr_rich,Production Technician I
1,3.96,4,0,7,0,1.2,0,4,6,1,0,4,0,3,2,0,2,57d859cf86a4,performance,The role evolved beyond my current skill set and the training support wasn't sufficient to bridge the gap.,dr_rich,Area Sales Manager
1,4.05,4,0,15,3,3.2,1,2,4,2,1,1,0,3,0,1,2,a4b278c1ee3a,compensation,The compensation structure here doesn't reward experience. I've consistently exceeded targets but my pay reviews have been minimal.,dr_rich,Production Technician I
0,3.97,4,0,3,0,11.5,0,4,4,0,4,3,3,3,2,0,4,8bcbc47c2339,,,dr_rich,Production Technician I
0,4.42,5,0,20,0,11.1,1,3,6,1,4,3,2,3,1,0,6,96a7c9a8937d,,,dr_rich,Area Sales Manager
1,4.55,4,4,10,0,0.1,0,4,3,1,4,3,0,0,1,0,6,e8e5d9eb1f06,compensation,"After 1 years, my salary hasn't kept pace with market rates. I received an offer that was significantly higher and felt I had no choice but to accept it.",dr_rich,Database Administrator
0,4.26,5,7,20,0,11.0,1,2,3,1,5,1,2,4,1,1,6,c12c1263686b,,,dr_rich,IT Support
0,4.22,5,0,7,0,12.3,0,4,4,1,4,3,1,3,1,0,6,892d21b707cf,,,dr_rich,Production Technician I
0,4.59,4,0,1,0,14.7,0,4,4,0,1,0,0,3,1,1,2,0c2f408ac638,,,dr_rich,Production Technician I
1,2.93,3,0,10,3,1.1,1,4,4,3,1,1,0,3,0,1,2,3ec6009ee389,compensation,"After 1 years, my salary hasn't kept pace with market rates. I received an offer that was significantly higher and felt I had no choice but to accept it.",dr_rich,Production Technician II
0,4.54,4,5,11,0,11.2,0,4,3,1,2,2,2,3,1,0,6,66c49551c178,,,dr_rich,IT Support
0,4.68,3,0,20,0,11.8,1,3,4,1,5,1,2,3,2,0,6,549a6f136819,,,dr_rich,Production Technician II
0,5.0,3,0,2,0,13.7,0,4,4,1,5,1,3,2,2,1,6,1bb21f218111,,,dr_rich,Production Technician I
0,4.45,5,0,1,0,12.5,0,4,4,1,3,2,2,3,1,0,0,34c08027d025,,,dr_rich,Production Technician II
0,4.08,5,0,3,0,12.6,0,4,4,1,5,1,0,2,1,0,1,2ef81351fc02,,,dr_rich,Production Technician I
0,4.64,3,0,2,0,10.8,0,4,4,1,2,0,2,3,2,1,6,7ecdd224f30a,,,dr_rich,Production Manager
1,5.0,5,0,17,0,2.9,1,2,4,1,0,0,2,3,1,0,6,18df69e6ee91,compensation,"After 2 years, my salary hasn't kept pace with market rates. I received an offer that was significantly higher and felt I had no choice but to accept it.",dr_rich,Production Technician I
0,4.27,5,5,8,0,8.9,0,4,3,1,4,1,2,4,1,1,2,3ddd464fb55b,,,dr_rich,BI Developer
1,4.51,5,0,20,0,2.7,1,3,6,1,5,3,0,4,0,1,4,e8edc4ddece9,relocation,I'm relocating for family reasons and unfortunately remote work isn't available for my role. I'd consider returning if circumstances change.,dr_rich,Area Sales Manager
0,4.15,4,0,13,0,14.3,0,3,4,1,3,1,3,3,1,0,6,1210deec92e8,,,dr_rich,Production Technician I
0,4.99,3,0,20,0,12.3,1,2,4,1,5,3,2,3,2,1,6,1cd3cbcf8a4d,,,dr_rich,Production Technician II
1,4.6,4,0,8,0,3.9,0,4,4,1,0,3,0,3,1,0,6,9cf95e77c2cd,relocation,I'm relocating for family reasons and unfortunately remote work isn't available for my role. I'd consider returning if circumstances change.,dr_rich,Production Technician I
0,4.73,4,0,5,0,11.8,0,4,4,0,0,1,0,3,1,0,6,75911924aa34,,,dr_rich,Production Technician I
0,4.13,4,0,1,0,13.6,0,4,4,1,3,3,2,2,1,1,6,bf8cab925238,,,dr_rich,Production Technician I
1,5.0,3,0,15,0,2.4,0,4,4,1,0,3,0,3,0,0,6,cc18b05438fd,work_life_balance,I need better work-life balance. The constant pressure and lack of remote work options made it difficult to manage personal responsibilities.,dr_rich,Production Technician II
0,3.5,5,0,9,0,11.6,0,4,6,1,4,1,2,4,2,1,0,51061d54b75b,,,dr_rich,Area Sales Manager
1,3.09,5,0,16,0,0.6,1,2,4,1,4,1,2,3,0,0,6,03a1aafcdafa,relocation,My spouse accepted a position in another city. I explored transfer options but none were available in my department.,dr_rich,Production Technician II
0,4.47,5,6,4,0,11.0,0,4,3,1,4,3,2,4,1,0,6,c15366be6324,,,dr_rich,Database Administrator
0,4.46,4,0,19,0,11.9,1,2,6,1,5,1,0,1,1,0,6,c68a0e844336,,,dr_rich,Director of Sales
1,3.23,3,4,6,0,0.2,0,4,0,1,4,1,2,2,0,0,2,5cb495db44e4,management,There were ongoing communication issues with leadership in my department. Decisions were made without consulting the team and morale suffered.,dr_rich,Administrative Assistant
0,4.82,4,0,4,0,14.1,0,4,4,1,5,3,2,3,1,0,6,ee4a1b5396ce,,,dr_rich,Production Technician I
0,3.01,5,0,4,0,9.8,0,4,4,1,5,3,2,3,2,0,6,c789e5bc621d,,,dr_rich,Production Technician II
0,4.59,3,0,6,0,10.8,0,4,4,1,4,2,1,3,2,0,6,eebceb192f68,,,dr_rich,Production Technician II
1,3.75,3,0,18,0,2.1,1,2,4,1,3,0,3,3,2,0,6,18c088f113f5,management,I raised concerns about workload distribution multiple times but nothing changed. The management style in our department needs improvement.,dr_rich,Production Technician II
1,2.31,2,0,4,3,1.6,1,4,4,2,4,1,3,4,0,1,1,99c97ad75e95,management,There were ongoing communication issues with leadership in my department. Decisions were made without consulting the team and morale suffered.,dr_rich,Production Manager
0,3.99,3,0,14,0,12.6,0,3,4,1,4,3,1,3,2,0,6,757e36aea331,,,dr_rich,Production Technician I
0,4.03,3,0,7,0,13.4,0,4,4,1,5,3,0,3,2,0,2,9fa80fb91d84,,,dr_rich,Production Technician I
0,4.37,5,0,7,0,12.5,0,4,4,1,2,0,0,2,1,0,6,e2215e2b3ff8,,,dr_rich,Production Technician I
0,4.66,4,0,11,0,14.7,0,3,4,0,5,0,2,3,1,0,0,424bea87d0a4,,,dr_rich,Production Technician II
0,5.0,5,0,9,0,12.2,0,4,4,1,5,2,0,3,1,0,6,4f67b05774db,,,dr_rich,Production Technician I
1,4.66,4,0,9,0,6.5,0,4,4,0,0,1,0,2,1,1,6,401a82695f1a,compensation,"After 6 years, my salary hasn't kept pace with market rates. I received an offer that was significantly higher and felt I had no choice but to accept it.",dr_rich,Production Technician I
0,3.78,3,5,2,0,11.2,0,4,3,1,4,1,2,0,2,0,1,288692a2aba1,,,dr_rich,Database Administrator
0,4.21,3,0,1,0,11.7,0,4,4,0,5,3,0,3,2,0,6,dbbd80a1203f,,,dr_rich,Production Technician II
1,4.06,4,0,4,0,5.2,0,4,4,1,0,1,2,3,0,0,2,79766210db7d,management,There were ongoing communication issues with leadership in my department. Decisions were made without consulting the team and morale suffered.,dr_rich,Production Technician I
1,4.46,5,0,2,0,2.5,0,4,6,1,3,3,2,3,0,0,6,635e3153e123,career_growth,"Despite strong performance reviews, there's been no discussion about advancement. I need a role where I can develop new skills and take on more responsibility.",dr_rich,Sales Manager
0,3.14,4,0,10,0,12.5,0,4,4,1,4,3,3,3,2,1,6,c9e4e2104a7a,,,dr_rich,Production Technician I
0,4.3,5,0,13,0,12.6,0,3,6,1,4,3,3,3,1,1,6,ce92d8337df0,,,dr_rich,Area Sales Manager
0,4.83,3,0,10,0,13.7,0,4,1,1,4,1,0,1,2,0,6,e3ceb3647482,,,dr_rich,President & CEO
1,3.58,5,0,16,0,3.7,1,2,4,1,3,1,0,3,0,0,6,f8d5d3ed7287,compensation,I enjoyed the team but the total compensation package wasn't competitive. Benefits and base salary both fell below industry standard.,dr_rich,Production Technician I
1,3.4,4,0,6,0,2.3,0,4,4,1,3,1,0,2,0,0,6,d4e5b74bf784,career_growth,I've been in the same role for 2 years with no clear path forward. I want to grow into a leadership position but those opportunities don't exist here.,dr_rich,Production Technician I
0,3.16,3,0,3,0,12.1,0,4,4,1,5,3,3,2,2,1,2,dcd90dcab9bc,,,dr_rich,Production Technician I
0,3.46,3,0,17,0,15.2,1,3,4,1,4,1,3,3,2,1,1,776fd027e736,,,dr_rich,Production Technician I
0,3.66,5,0,20,0,15.0,1,2,6,1,1,3,0,4,2,1,2,e025b5e4a340,,,dr_rich,Area Sales Manager
0,4.48,5,6,7,0,11.3,0,4,3,1,2,1,2,4,1,1,6,060b32e304e1,,,dr_rich,Sr. Network Engineer
1,4.69,4,0,9,0,4.9,0,4,4,1,2,1,0,4,1,1,6,29b20f4bfd34,performance,I acknowledge that my recent performance wasn't meeting expectations. I was dealing with personal issues that affected my work.,dr_rich,Production Manager
1,4.57,3,0,20,0,1.2,1,2,4,1,4,0,3,3,0,0,1,bbd33113eaf6,career_growth,I've been in the same role for 1 years with no clear path forward. I want to grow into a leadership position but those opportunities don't exist here.,dr_rich,Production Technician II
0,5.0,5,0,13,0,13.7,0,4,4,1,5,1,2,2,1,1,6,e15b5dd0d0ea,,,dr_rich,Production Technician I
0,5.0,4,4,3,0,12.2,0,4,0,1,9,0,2,3,1,1,2,888b7fd496ca,,,dr_rich,Accountant I
1,4.94,3,0,20,0,1.0,1,3,4,1,3,1,2,3,0,1,6,106670cb3f04,compensation,The compensation structure here doesn't reward experience. I've consistently exceeded targets but my pay reviews have been minimal.,dr_rich,Production Technician II
0,4.14,5,7,2,0,9.5,0,4,3,1,4,3,2,4,1,0,1,a6039d9db2bf,,,dr_rich,Senior BI Developer
1,4.82,3,0,17,0,6.9,1,2,4,1,0,3,3,3,0,0,1,af97a8106365,relocation,I'm relocating for family reasons and unfortunately remote work isn't available for my role. I'd consider returning if circumstances change.,dr_rich,Production Technician I
0,4.0,4,0,20,0,10.2,1,2,0,1,0,1,2,4,1,1,6,0c9f5e4d58d8,,,dr_rich,Shared Services Manager
0,4.08,3,0,10,0,13.8,0,4,4,1,3,1,2,3,2,1,1,59e70798be9f,,,dr_rich,Production Technician I
0,4.52,3,0,16,0,13.9,1,2,6,1,9,2,2,4,2,1,2,884d899592d2,,,dr_rich,Area Sales Manager
0,4.15,3,0,11,0,12.5,0,3,4,0,9,1,2,4,2,0,6,9880937259c1,,,dr_rich,Production Manager
1,3.23,4,0,16,0,7.2,1,2,4,1,4,1,2,3,2,0,6,d31cf768fa40,management,My relationship with my manager deteriorated over the past year. Feedback was inconsistent and I felt my contributions weren't recognized.,dr_rich,Production Technician I
0,3.97,3,0,7,0,12.7,0,4,4,1,5,1,3,3,2,1,6,8b6143392fd7,,,dr_rich,Production Technician II
0,4.72,4,5,14,0,15.2,0,4,3,0,1,3,2,3,1,0,2,449bb94a3f87,,,dr_rich,IT Support
1,4.67,4,0,15,0,3.2,0,3,4,1,5,4,3,3,0,0,6,9ee50f97eff8,career_growth,"Despite strong performance reviews, there's been no discussion about advancement. I need a role where I can develop new skills and take on more responsibility.",dr_rich,Production Technician II
0,4.24,4,0,19,0,12.6,1,2,4,0,4,3,2,4,1,0,2,6f437200594a,,,dr_rich,Production Technician II
0,5.0,3,0,6,0,11.1,0,4,4,1,9,1,0,3,2,0,2,82533b576d48,,,dr_rich,Production Technician I
1,5.0,4,0,17,0,4.0,1,3,4,0,1,3,0,2,1,0,2,c5393ff0cdda,compensation,I enjoyed the team but the total compensation package wasn't competitive. Benefits and base salary both fell below industry standard.,dr_rich,Production Technician I
1,3.05,4,0,18,0,5.0,1,2,4,1,4,4,0,3,0,1,6,0b1431e5c839,relocation,My spouse accepted a position in another city. I explored transfer options but none were available in my department.,dr_rich,Production Technician I
0,4.6,4,0,14,0,12.2,0,4,4,1,5,3,2,2,1,0,6,c264f2450a36,,,dr_rich,Production Technician I
