Termd,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,Absences,DaysLateLast30,Department,PerformanceScore,RecruitmentSource,source_dataset
0,3.125,3.75,0,14,0,Research & Development,Fully Meets,Unknown,ibm
1,3.125,1.25,7,24,0,Sales,Exceeds,Unknown,ibm
0,2.5,2.5,0,0,0,Research & Development,Fully Meets,Unknown,ibm
0,3.75,5.0,1,6,0,Research & Development,Fully Meets,Unknown,ibm
1,3.125,1.25,2,0,0,Research & Development,Fully Meets,Unknown,ibm
0,3.75,3.75,4,0,0,Research & Development,Fully Meets,Unknown,ibm
1,1.875,1.25,1,22,0,Research & Development,Exceeds,Unknown,ibm
0,3.75,2.5,0,0,0,Sales,Fully Meets,Unknown,ibm
0,1.875,5.0,3,6,0,Research & Development,Fully Meets,Unknown,ibm
0,3.125,1.25,3,2,0,Sales,Fully Meets,Unknown,ibm
0,3.75,5.0,4,0,0,Research & Development,Fully Meets,Unknown,ibm
0,4.375,5.0,2,4,0,Research & Development,Fully Meets,Unknown,ibm
0,3.75,3.75,1,4,0,Research & Development,Fully Meets,Unknown,ibm
1,4.375,5.0,3,6,0,Sales,Fully Meets,Unknown,ibm
1,3.125,5.0,2,10,0,Research & Development,Fully Meets,Unknown,ibm
0,5.0,3.75,1,2,0,Research & Development,Fully Meets,Unknown,ibm
1,1.875,3.75,1,6,0,Sales,Fully Meets,Unknown,ibm
0,4.375,5.0,1,4,0,Sales,Fully Meets,Unknown,ibm
0,2.5,1.25,9,6,0,Research & Development,Fully Meets,Unknown,ibm
0,4.375,1.25,2,16,0,Sales,Fully Meets,Unknown,ibm
0,3.75,5.0,1,2,0,Research & Development,Fully Meets,Unknown,ibm
0,4.375,1.25,1,4,0,Research & Development,Fully Meets,Unknown,ibm
1,1.25,3.75,1,2,0,Research & Development,Fully Meets,Unknown,ibm
0,4.375,3.75,1,8,0,Sales,Fully Meets,Unknown,ibm
0,3.75,5.0,1,24,0,Research & Development,Exceeds,Unknown,ibm
1,3.125,3.75,1,2,0,Research & Development,Fully Meets,Unknown,ibm
